measure,location,sex,age,metric,year,val,upper,lower
Population,G20,Female,50-69 years,Number,2019,518248003.4060729,536937028.0793145,500167881.88095784
Population,G20,Both,50-69 years,Number,2019,1019218111.1185031,1056596757.404205,983573935.3363065
Population,G20,Male,50-69 years,Number,2021,520406471.1783872,541480231.5232581,500509631.6727317
Population,G20,Female,50-69 years,Number,2021,538488668.3450855,560036750.8295628,518679989.34242153
Population,G20,Both,50-69 years,Number,2021,1058895139.5234727,1101273888.3084338,1019240853.3186227
Population,G20,Male,70+ years,Number,1990,63476380.48123493,64986404.56481223,62100085.09314617
Population,G20,Female,70+ years,Number,1990,95309479.7842925,97343443.38157442,93368224.05143109
Population,G20,Both,70+ years,Number,1990,158785860.26552743,162296677.30918226,155503929.75063142
Population,G20,Male,70+ years,Number,2019,160863466.44168937,166072403.21364272,156101227.837862
Population,G20,Female,70+ years,Number,2019,206904456.11761126,213217144.91891286,201253861.95891756
Population,G20,Both,70+ years,Number,2019,367767922.55930066,379274927.33758986,357429099.50452006
Population,G20,Male,70+ years,Number,2021,171856065.4250951,177912949.45795432,166423532.00853804
Population,G20,Female,70+ years,Number,2021,220440804.56466654,227672733.30998543,213956406.50701445
Population,G20,Both,70+ years,Number,2021,392296869.98976165,405522771.62194777,380552958.5964789
Population,G20,Male,5-14 years,Number,1990,364142021.8230942,375497383.60316867,353647557.77186286
Population,G20,Female,5-14 years,Number,1990,341813737.3229499,352349423.0078365,332090957.5723118
Population,G20,Both,5-14 years,Number,1990,705955759.1460441,727846806.6110053,685770819.5610788
Population,G20,Male,5-14 years,Number,2019,365327792.5882871,383307124.7672285,348995162.30813515
Population,G20,Female,5-14 years,Number,2019,335259394.83555865,351575223.11972016,320372119.8115444
Population,G20,Both,5-14 years,Number,2019,700587187.4238458,734882796.1017568,669366474.557426
Population,G20,Male,5-14 years,Number,2021,369105837.195071,388769087.47520334,350990445.9010892
Population,G20,Female,5-14 years,Number,2021,339068695.6007751,357049564.1881683,322621974.3987226
Population,G20,Both,5-14 years,Number,2021,708174532.7958461,745778965.3019575,673571115.0870397
